[00:00] OK,好了,今天给大家带来第二期视频,雅思知学流程
[45:59] ok好
[45:59] 我们来展示一下
[46:00] 具体该如何做这个副版
[46:02] 好吧
[46:03] ok
[46:06] 哎这种人真的有点卡
[46:07] 做什么
[46:10] 好的
[46:10] 比如说
[46:11] 这个地方
[46:13] 这匹配点对不对
[46:15] 匹配点
[46:16] 我们看我这第一个错对不对
[46:18] 那我觉得你看
[46:19] 这个这句话
[46:20] 我到底读懂没有呢
[46:21] 但如果发现
[46:22] 哎这句话不是挺简单的吗
[46:24] 我读懂了
[46:25] 那我觉得看
[46:26] 他对应的这句话
[46:28] 对应的这个答案
[46:29] 他给这个语言
[46:29] 这句话我到底读懂没
[46:31] 这不要看
[46:32] 你看他这个给
[46:33] 直接给句话
[46:33] 对不对
[46:33] 你不要想了
[46:34] 如果觉得建议
[46:35] 你直接把这一整段
[46:36] 你去读完
[46:37] 懂不懂
[46:38] 你把这一整段读完
[46:39] 你要发现你哪里
[46:41] 哪里没读懂
[46:42] 对不对
[46:42] 因为他
[46:43] 你很重匹配点
[46:44] 他不是靠你一句话
[46:46] 就能得到答案
[46:46] 当然也有
[46:47] 但是
[46:48] 注意更多的匹配点
[46:49] 他还是要靠你对这个整个文章
[46:51] 那个逻辑主干
[46:52] 就整段话
[46:53] 这个逻辑主干
[46:53] 你也没搞懂
[46:54] 如果这一段话
[46:54] 逻辑主干你搞懂的话
[46:56] 你去做这个选项
[46:57] 这个匹配点
[46:58] 那是很简单的
[46:59] 对不对
[47:00] 因为就算这一他给你标出来说
[47:01] 哎
[47:02] 这定位语言在这里
[47:03] 我还是建议你把这一整段都好好读完
[47:06] 读透好不好
[47:07] ok
[47:07] 那读完以后
[47:08] 你会发现哎呀
[47:09] 我就是读不懂那怎么办呢
[47:11] ok
[47:11] 这个时候你要用a
[47:12] 比如说你可以把这个
[47:14] 我自己不不展示啊
[47:15] 你把这一段
[47:16] 比如说这一段
[47:17] 我把它复制沾添到那个起来级别上面
[47:20] 我就问他
[47:21] 哎
[47:21] 帮我做一下语法分析
[47:23] 就跟那个听力一样
[47:23] 听力你听不懂的听不懂
[47:24] 你就一样的
[47:25] 你把它
[47:26] 那段话
[47:27] 你把它翻译过来
[47:28] 你去做一下语法分析
[47:29] 帮我做一下
[47:29] 不要你把句子结构搞懂
[47:31] 然后你又搞懂句子结构以后
[47:33] 你就发现你自己真的搞懂这个
[47:36] 搞懂搞懂他这个
[47:37] 句子意思的
[47:38] 那这段话的这个
[47:39] 逻辑主干不响
[47:40] 一些你也能懂了吗
[47:41] 对不对
[47:42] 那句子逻辑
[47:43] 你的搞懂了
[47:43] 句子主干都搞懂了
[47:44] 难道我这一段的文章主持人
[47:46] 你还搞不懂吗
[47:47] 对不对
[47:48] 所以不用不用不用想那么多啊
[47:50] 嗯
[47:51] 语法分析他是个
[47:52] 我还说一下
[47:53] 语法分析应该是一个很好的工具
[47:55] 但不代表你每一句话
[47:56] 你都要做那个语法分析啊
[47:58] 就是你做题的时候
[47:59] 你也不需要
[48:01] 每句话都做语法分析
[48:02] 他会花很多时间的
[48:03] 就是当你通过题目
[48:05] 定位语言文实
[48:06] 因为我压实不是还
[48:08] 有点讲定位
[48:09] 对不对
[48:09] 定位到语言文了
[48:10] 你才会
[48:11] 你会发现如果这个答案啊
[48:13] 他要是显而易见的话
[48:14] 就像那个前功提一样
[48:15] 你就嗯
[48:17] 不需要
[48:17] 就去慢慢做那个语法
[48:19] 语法语法分析
[48:20] 但如果你发现你通过这个定位
[48:22] 你早不是答案的时候
[48:24] 这个时候你肯定就
[48:25] 就做那个语法分析的
[48:27] 其实你做语法分析
[48:28] 一个可能就花个
[48:30] 嗯
[48:30] 30秒的时间
[48:31] 对吧
[48:31] 你其实你每篇
[48:32] 这10个他也花不了多少时间
[48:34] 对不对
[48:35] 你又
[48:35] 而且这个是可以训练的
[48:36] 你从训练
[48:37] 你的这个速度会越来越快越来越快
[48:39] 当你一眼少不出这个意思
[48:40] 是你又做语法
[48:41] 语法语法语法分析
[48:43] 你弄完今天和阅读长男剧
[48:46] 差不多都两个小时
[48:47] 你就可以去
[48:48] 吃饭啊
[48:49] 啥啥的就可以准备
[48:51] 晚上的东西啊
[48:52] 然后我在
[48:53] 我感觉没讲清楚
[48:54] 我再给大家讲一下
[48:55] 如果是阅读提拉琴
[48:56] ok
[48:56] 比如说这个题
[48:58] 呃
[48:58] 这个tft啊
[49:00] 你要是搞搞不同
[49:01] 他这个题
[49:02] 你一看过去
[49:03] 你不知道他自己错了
[49:05] 你让你就 tft
[49:06] 刚不是说过吗
[49:07] 你不要过多的去看这个
[49:09] 他这上面给的答案
[49:10] 他都不是很准
[49:11] 他只是跟你讲的定位
[49:12] 你可以把这种tft
[49:13] tft的话
[49:14] 你直接把它
[49:15] 呃
[49:15] 翻译
[49:16] 就是把它粘贴到那个起来级别上问
[49:18] 然后再把这个对应的断落
[49:20] 那个计算
[49:20] 对应的断落去粘粘粘粘粘粘上来
[49:23] 你问他
[49:23] 为什么这个题到底
[49:25] 到底选
[49:26] f还是
[49:27] ng还是t就行了
[49:29] 然后呢
[49:29] 像选择题啊
[49:31] 就是这种选择题一般
[49:32] 单选题还是有点难度的
[49:34] 在这个
[49:35] 当然题
[49:36] 你要做什么呢
[49:39] 问题啊
[49:39] 一定一定要把问题读懂啊
[49:42] 很多人其实感觉他单元题
[49:43] 嗯没做懂
[49:45] 他就是没做对
[49:46] 他就是嗯
[49:48] 嗯问题他都没读懂
[49:49] 就是你问的什么
[49:50] 都不知道
[49:51] 还有选项每个要搞懂
[49:53] 如果你这个题做错了
[49:54] 比如说我这个题做错了
[49:55] 怎么办
[49:56] 我就把这些看下来
[49:57] 看哪些句子我是完全懂的
[50:00] 如果这句子不懂的话
[50:01] 就这个选项不懂的话
[50:02] 就去让他帮我做那个
[50:04] 那给那个
[50:05] CGP让他帮你做语法分析
[50:07] 语法分析做完以后
[50:08] 你一定要自己知道
[50:10] 我是有
[50:10] 我是清楚这个语法
[50:11] 你不要让他做了以后
[50:12] 哎就感觉自己懂了一些
[50:14] 你要做的是让他帮你
[50:16] 去了解这个句子结果
[50:17] 而不是
[50:18] 只是让他帮你做而已
[50:19] 你不做的话
[50:20] 你自己要吸收
[50:20] 你要有个吸收的功能对不对
[50:22] 然后这种都是
[50:23] 养月如蹄就真的很简单
[50:24] 就是
[50:25] 嗯你复返就很简单
[50:26] 就是你
[50:27] 你那个做错以后
[50:28] 你就去做那个句子的语法分析
[50:29] 问题的这个
[50:30] 语法分析
[50:31] 然后做完这个语法分析以后
[50:33] 你再去做那个语法分析
[50:34] 那不是配对的吗
[50:35] 他肯定会有出出对不对
[50:36] 就33题
[50:37] 这个题
[50:38] 你做错了
[50:39] 然后你要找他那个对应点
[50:41] 对应点的话
[50:41] 然后你就把这个也
[50:43] 也去做一个完整的语法分析
[50:45] 实在是做不自己分析
[50:47] 不了的
[50:48] 你才去哪个ai做ok
[50:50] 懂了你自己要先去
[50:53] 嗯去做那个语法分析
[50:55] 如果你发现你
[50:56] 你做不下去了
[50:57] 你不知道怎么这个成分
[50:58] 到底是啥
[50:59] 你再拿给ai
[50:59] 一开始拿ai做
[51:01] 你自己要训练语法分析
[51:02] 这个你对不对
[51:03] ok
[51:03] 这阅读就讲那么多
[51:05] 就是
[51:05] 只要你把那个不懂的东西
[51:06] 你就去做一个语法分析
[51:07] 就行了
[51:08] 把他句子解构搞懂了
[51:09] 你的句子意义就会
[51:11] 搞懂
[51:11] 那同样的文章主子搞懂
[51:12] 文章主子搞懂了
[51:13] 怎么可能还
[51:14] 都不懂呢
[51:15] 还这么重
[51:15] 简单
[51:16] 这不存在了对吧
[51:17] 好的
[51:18] 好我们继续
[51:21] 好我们现在来讲一下写作啊
[51:24] 嗯写作的话
[51:25] 我先提一个点
[51:27] 一定一定一定要尽早练习
[51:30] 就算你写到那个
[51:32] 虽然你水平很差
[51:34] 就是你很多时候那个
[51:36] 足以一致这种问题
[51:37] 实在问题
[51:38] 你都搞不懂
[51:39] 都很容易犯错
[51:39] 你
[51:40] 你都要
[51:41] 嗯
[51:42] 都都要写
[51:43] 就是
[51:44] 不知道怎么写
[51:45] 你也要下写
[51:46] 还有我建议大家多写啊
[51:47] 就是那个大作文
[51:48] 他要求不是
[51:50] 250的什么小作人
[51:51] 好像是100多150
[51:53] 然后我我考七分的时候啊
[51:55] 就是我那个总分才6.5
[51:57] 然后听乐都才6分的时候
[51:59] 我作文依旧考七分的原因
[52:02] 主要就是我写了400左右
[52:04] 400次左右三段时
[52:05] 然后至于什么模板啥的
[52:07] 我下一期视频
[52:09] 会给大家出一个比较详细的视频
[52:10] 讲一下
[52:11] 去写多模板的
[52:12] 因为我觉得我自己这方面还是比较有
[52:15] 嗯比较有一些能力吧
[52:17] ok
[52:17] 然后我们就继续说
[52:20] 那个
[52:21] 写作他一定要检查一些错误
[52:23] 什么错误呢
[52:24] 就是足以一致
[52:25] 单幅数拼写时代或者是指代的错误
[52:28] 你要多用ai
[52:29] ape帮你修改
[52:30] 但是呢
[52:31] 因为他你不
[52:32] 嗯
[52:32] 哎
[52:33] 怎么帮你修改呢
[52:33] 我先给大家讲一个点
[52:35] 比如说你写作写完以后
[52:37] 你拿给他改
[52:38] 要你要给他说要以你的水平为基础
[52:42] 在你的模板在你的基础上进行改正
[52:46] 你先把你自己的问题
[52:47] 就是你做完一篇
[52:49] 嗯
[52:49] 写作以后
[52:50] 你放到那个起来就去改
[52:52] 改完之后
[52:53] 你再自己对到原文改
[52:55] 嗯原文改
[52:56] 然后错了地方
[52:58] 我自己讲的就是注意的这些你要搞搞清楚
[53:01] 然后呢
[53:02] 因为ai他他实力很强
[53:04] 对不对
[53:04] 你不能说你让他给你改
[53:06] 他很容易就给你改一篇九分的作文
[53:08] 你没能力啊
[53:09] 你搞不懂他的九分
[53:10] 你就不需要
[53:11] 嗯你这个对你没有任何意义
[53:13] 他也学习不了什么
[53:14] 你又给他说
[53:15] 啊你帮我打个分
[53:16] 然后他说你的分数是六分
[53:18] ok
[53:18] 你就说按到我的基准上
[53:20] 然后帮我们把这篇作文改到七分的作文
[53:22] 然后你拿着两个作文做对比
[53:24] 那ai改出来的和你的作文这边
[53:26] 你能学习去模仿他
[53:28] 因为ai是在你的基础上
[53:29] 把你的作文改到七分对不对
[53:31] 你可以问他哎为什么这样
[53:34] 把这句话写成这样我觉得能得七分了
[53:36] 为什么换个单词就能七分
[53:37] 为什么把这个句子再成人也七分
[53:39] 你又会慢慢慢慢地去学习这个过程
[53:41] 你又会进步啊
[53:42] 原来我这样写才能得到更高的分数
[53:44] 原来我这样写才能
[53:46] 才能得到一个比较好的一个句子结构
[53:48] 就行了对吧
[53:49] 多用ai但是一定
[53:51] 切记啊
[53:51] 不要上一句说让ai给你改
[53:53] 你要让ai给你改一定要说让他在你的基础上
[53:57] 帮你提高你的这个分
[53:58] 不要改变你的模板
[53:59] 不要改变你的结构
[54:01] 只改变你的用词
[54:02] 帮你提到一个分数
[54:03] 如果你六分的话就让他帮你改七分
[54:06] 如果你七分的话
[54:07] 你就可以让他把那个7.5这些
[54:08] ok就这样行吗
[54:09] 这写作其实他上6.5真的
[54:12] 嗯非常非常简单
[54:13] 你只要把那个
[54:15] 那余法搞懂
[54:16] 然后模板搞一下
[54:17] 就真的他上那个6.5真的真的真的很简单
[54:20] 就是很多人觉得那个写作
[54:21] 拿起的写作真的不难
[54:23] 余法好
[54:23] 你就算你那个单词啊
[54:25] 就用了很简单
[54:26] 也只会你都不会差了
[54:28] 这上6.5真的很简单
[54:30] ok
[54:30] 现在讲一下口语
[54:32] 因为我不会单独说口语啊
[54:33] 我
[54:34] 我一方面呢是我口语很不要差
[54:37] 我考这么多是口语一直是六分
[54:39] 还有一个我又觉得口语和写作
[54:42] 他不分家吗对吧
[54:43] 就是我觉得你写作好你的口语
[54:46] 肯定是有一定水平的
[54:48] 那你的口语就不会差到哪里去了
[54:50] 然后但是呢
[54:50] 一定还是需要花一定的时间去研究体会
[54:54] 我是实在没有时间去研究体会
[54:57] 因为因为我没有那个卡小分的要求
[55:00] 有很多同学他申请的学校是有卡6.5
[55:02] 或者是卡7小分的要求
[55:04] 那你一定要花时间去研究体会
[55:06] 上一视频我也说过
[55:08] 研究体会不是说让你把那个体会给背下来
[55:10] 让你考试的时候能考原体
[55:11] 你不要做这种幻想啊
[55:12] 这没没用
[55:14] 你去研究体会
[55:15] 去研究那个体会是为了去研究他的答案
[55:17] 去研究他的格式
[55:18] 去想哎原来
[55:20] 雅舍口语考试你说这些剧情是能得分
[55:22] 原来要这么说不能那样说
[55:24] 这么说来是标准的雅舍口语考试
[55:27] 而不是那种日常聊天
[55:29] 所以研究体会还是有必要的
[55:32] 好吧
[55:32] 而且万一你一个小遇到原体了
[55:34] 对吧
[55:35] ok
[55:36] 我们现在现在给大家讲一些奇迹影响啊
[55:39] 就是一些
[55:41] 我觉得还是有点有点错误的东西啊
[55:44] 然后就是一些我这个觉得比较有意思的东西
[55:47] 给大家分享给大家
[55:49] 第一个点
[55:50] 听听力的时候
[55:52] 耳机音量不要太大
[55:56] 你可以用降噪耳机
[55:57] 就是你音量呢就是保持在70左右
[56:00] 为什么呢
[56:00] 因为雅舍口试的时候他耳机真正
[56:03] 真的挺差的很差
[56:04] 而且音效他绝对比不上你的耳机
[56:07] 所以为了适应考试
[56:09] 我建议你的音量就保持在70左右
[56:11] 你不要太高
[56:12] 说今天的时候也是如此
[56:14] 因为长期耳机听东西
[56:16] 听到后面你听你肯定会有
[56:18] 有有受损需要更高的分配才能精致精致
[56:21] 所以你平时用70
[56:22] 70音量考试的时候
[56:24] 你就可以调满
[56:25] 你又可以听得更清楚了
[56:26] 动物意思
[56:27] 又平时你用70
[56:28] 因为感觉还可以哦
[56:30] 这个声音还可以
[56:31] 但是可能会听到一些杂音啥的
[56:33] 那不管你又适应自己
[56:34] 你耳都会适应环境的
[56:36] 然后你到考试的时候
[56:37] 你突然可以调满跳到90
[56:40] 加到85加到90
[56:41] 调满就哇
[56:42] 原来这么清楚
[56:43] 但是如果你一直都用很高的音量去听的话
[56:47] 你你你你那个听的时候
[56:49] 你没有提高到上线
[56:50] 你就不会再有那个更清晰的提高
[56:53] 清一度就没有提高的空间了
[56:54] 动物意思
[56:55] 然后还有一点就是考试的时候
[56:57] 就考试那天啊
[56:58] 放听音的时候
[57:00] 你要提前注意观察环境
[57:02] 这个点真的挺重要的
[57:03] 我感觉很多人都没说过
[57:04] 就是你考试的时候
[57:06] 你去进那个机房考
[57:08] 他会给你一个账号密码
[57:10] 你会自己填
[57:11] 然后进入那个页面
[57:12] 然后你填完账号密码进入页面以后
[57:14] 他会放一个考试叙职
[57:16] 放完以后你可以点开
[57:18] 他会给你介绍
[57:19] 比如说听音考试
[57:20] 乐都考试
[57:20] 啥啥啥
[57:21] 然后听音考试你要干嘛
[57:22] 他放30分
[57:23] 那么一放三个音频
[57:25] 然后你要完成几部分啥啥啥
[57:26] 啥啥这些
[57:27] 然后会放一些类似的介绍东西
[57:30] 那放了以后
[57:30] 你他会给你一个按钮
[57:32] 就是有个
[57:33] 一个播放的按钮
[57:34] 就找到这个播放按钮
[57:35] 你点了以后
[57:36] 你就可以你就已经进去了
[57:38] 就是能直接进去那个考试
[57:40] 就开的考试了
[57:41] 就是没有回头录了
[57:43] 懂我意思吧
[57:44] 但这个时候你要注意一下
[57:45] 考上环境
[57:46] 因为他们就是有点傻逼
[57:47] 他就是前不对他的帐号密码
[57:50] 但我也不是说人家
[57:51] 可能第一次考得很紧张
[57:52] 这数几次都没数对
[57:55] 我第一次考试的
[57:55] 我也太紧张数几次没数对
[57:57] 这个时候呢
[57:58] 但因为他一直前不对
[57:59] 他就会找老师来帮忙
[58:00] 对不对
[58:01] 老师帮忙
[58:02] 他们就会很吵
[58:04] 如果这个时候碰巧
[58:06] 你旁边那位同学
[58:07] 如果再不碰巧
[58:09] 你左边同学和右边同学
[58:11] 他们同时都没填对自己的那个
[58:14] 填对自己的那个信息
[58:16] 然后一直登陆不进去
[58:17] 他们又很
[58:18] 并且他们又很交集
[58:19] 他们就去找那个老师
[58:20] 然后老师就一直在跟他们讲
[58:22] 那如果你这个时候不巧
[58:24] 你又点开那个听力的
[58:25] 因为那个耳机是没有降噪的
[58:27] 你根本就听不清
[58:28] 但他在说什么
[58:29] 你懂我意思吗
[58:30] 因为你旁边两个人在吵你啊
[58:32] 懂不懂
[58:33] 那吵你人家听听力
[58:34] 然后你在放第一部分的时候
[58:35] 你连读题你都读不进去
[58:37] 你懂我意思吗
[58:38] 就是真的就是他那个交流
[58:41] 如果老师和学生交流是影响你
[58:43] 那不是炸的吗
[58:44] 就是你可以等一首
[58:45] 就是你等
[58:46] 全场的那个同学
[58:48] 就是大家都开始放听力
[58:49] 你就稍微看一眼
[58:50] 就看一下老师也没管
[58:52] 大家都在耗耐做
[58:53] 你这个时候再点是没关系的
[58:54] 因为你只要不点进去
[58:56] 他那个时间就不算了
[58:58] 应该是这样吧
[58:58] 你点进去以后
[58:59] 他还会有个那个听力部分
[59:01] 会有个那个30分钟的那个气势
[59:03] 你不点进去是没啥事的
[59:04] 所以说
[59:05] 我说一下大家那个考试前
[59:07] 考试一天放听力的时候
[59:08] 一定要注意关照环境啊
[59:10] 这个真的很重要
[59:10] 记得哦
[59:11] 哎就是你如果很紧张的话
[59:13] 你可以带水进去
[59:14] 他是允许带水进去
[59:15] 至少我去那几个考试
[59:16] 他都是允许带水进去了
[59:18] 你紧张的时候你可以含一口水
[59:20] 那你不要喝多
[59:21] 就是你含一口水就行了
[59:23] 就是含一口水
[59:24] 就是让你就是感觉自己没那么紧张
[59:26] 喝口水
[59:26] 那不要喝多喝多
[59:27] 你要上厕所对不对
[59:29] 你上厕所在考试里面
[59:31] 他可以上厕所
[59:31] 但是上厕所会用你的时间
[59:33] 比如说你那个
[59:34] 阅读的时候越来越多
[59:35] 不是一个小时
[59:36] 他他上厕所是你是不能暂停时间的哦
[59:39] 就是不是说哎
[59:40] 我要我去上个厕所
[59:41] 我暂停没没什么事
[59:42] 没什么好事
[59:43] 这都是暂停
[59:43] 大家都做一个体验
[59:45] 我去上厕所去厕所
[59:46] 你慢慢想没什么好事
[59:48] 可以喝水
[59:49] 你当着喝一个水
[59:50] 你不要喝太多
[59:51] 他就是
[59:53] 删掉那个
[59:54] 小红树啊和抖音
[59:56] 任何形式容易
[59:58] 小某树吧
[59:59] 小某树和某音
[60:00] 他任何东西
[60:01] 任何容易影响你心态的软件
[60:03] 因为他上面那些烂广告啊
[60:05] 这些臭广告
[60:06] 那些傻逼真的太多
[60:07] 太多太多太多太多
[60:09] 哎呀还有一堆那种
[60:10] 哎呀动不动就是
[60:12] 这八分不是有手就行吗
[60:13] 八点我不是有手有手吗
[60:15] 7点我不是4个人都可以吗
[60:17] 你考6点我你还是人的
[60:18] 就是各种这种东西
[60:20] 他很容易影响心态
[60:21] 不要管他
[60:22] 知道吧
[60:22] 我说实话哪有这么多人
[60:24] 那小龙说感觉一卡特8分
[60:26] 那现实当中100个考雅士的人
[60:28] 有5个考8分的
[60:29] 有没有估计肯定都没有
[60:31] 知道吧
[60:31] 所以不要管这些
[60:32] 我觉得很很难一点
[60:34] 你而且你说实话
[60:35] 你好好考试
[60:36] 你去刷那抖音
[60:37] 刷小红树干嘛
[60:38] 你在被考呢
[60:39] 你被考你就刷那个
[60:40] 你把它删了就行了
[60:41] 啊你说啊有的可以说啊
[60:43] 我要娱乐
[60:44] 你娱乐我的建议你去玩手机玩游戏
[60:47] 你去玩把游戏
[60:48] 你那不挺好吗
[60:48] 你不要去刷那个短视频啥
[60:50] 你要是现在那个大数据推牛
[60:52] 又挺恶心
[60:53] 他只要知道你考雅士
[60:54] 大概疯狂给你推关于雅士的东西
[60:56] 就会推到很多那种装逼的人
[60:58] 哎呀
[60:58] 原来七点我如此简单
[61:00] 原来八分就不够如此
[61:01] 不要想那些不要想那些
[61:02] 不要看那些
[61:03] 很容易影响心态很恶心
[61:04] 你要记住一点
[61:06] 只要你在路上
[61:07] 成功他就一定会到了
[61:08] 付出一定会有
[61:10] 收获一定会有回报
[61:11] 回报了
[61:12] 不要想那么多
[61:14] ok
[61:14] 啊
[61:15] 然后我再说一下
[61:15] 就是平时大家练习的时候
[61:17] 注意力不够
[61:19] 注意力不够的时候
[61:20] 你怎么办呢
[61:21] 我说了一点
[61:21] 早睡早起
[61:22] 真的挺重要的
[61:23] 就是你晚上
[61:24] 尽量尽量12点前睡
[61:26] 然后早上九点钟
[61:28] 八点八点点早起
[61:30] 晚上睡觉前不要玩手机啊
[61:31] 这真的老生长难
[61:32] 好多脖子都说
[61:34] 为了保持良好的睡眠
[61:35] 你晚上睡觉前不要不要玩手机
[61:36] 就算你睡着翻来覆去
[61:38] 睡不着你都不要去碰手机
[61:41] 一开始会这样的
[61:42] 我一开始不碰手机睡觉的时候
[61:44] 第一天晚上我睡眠了
[61:45] 睡眠了四五次
[61:46] 但是我睡了一个星期
[61:48] 嗯一个星期都
[61:50] 睡前都不看手机入睡
[61:52] 一个星期以后我就很自然的就是12点
[61:54] 我觉得正常就困
[61:55] 然后就睡了
[61:55] 然后早上正常八六点钟我就起了
[61:58] 有的时候七点钟我可能就起了
[61:59] 就是进入了很好
[62:01] 所以大家如果你想要一个良好的
[62:04] 嗯良好的状态的话
[62:05] 我还是建议大家不要
[62:07] 不要看手机真的
[62:08] 睡觉不要看手机
[62:09] 好好好睡觉睡觉真的很重要
[62:12] 因为雅士他这个很考脑力的考试
[62:14] 你想那个月读要读三篇那一个小时
[62:17] 真的在三大面文章
[62:18] 那三大面臭文章多下来真的身心俱皮
[62:21] 读完了以后你还要写个几百字的
[62:23] 哎我的妈呀
[62:24] 你要是没有充足的脑力
[62:26] 你要是没有休息好
[62:27] 你想把这张考着考好真的是
[62:29] 不太可能你懂了是吧
[62:31] 懂不懂
[62:31] 然后我还是建议大家报考的时候
[62:34] 也报下午考下午场
[62:36] 因为我这个嗯
[62:38] 市场那个惯你们这个routine
[62:40] 那就是下午
[62:42] 1点半到那个3点的时候
[62:44] 是那个考一场做一场完整的计考模拟
[62:47] 对不对
[62:47] 如果你报考的时候也报下午场
[62:49] 他大脑的就会在这个时段
[62:51] 自动适应你这个高要求的思考
[62:53] 你因为平时我们都是在下午的时候做联系
[62:56] 对不对
[62:56] 所以你考试的时候
[62:58] 你报到下午你大脑
[62:59] 你你念学很久年纪两个月
[63:01] 大脑就会知道哎
[63:02] 你下午了到这个点
[63:03] 我还开始认真了
[63:04] 懂不懂就是
[63:06] 嗯在这个点的时候会
[63:07] 更加让你容易进入状态
[63:08] 你考试那天也会更加让你进入状态
[63:10] 如果你平时是早上练习的话
[63:12] 那你就报早上的早上的考试
[63:14] 如果你的下午练习多的话
[63:16] 你报下午的考试
[63:17] 好吗
[63:18] ok
[63:18] 嗯
[63:19] 然后我我我我我还是有个建议
[63:22] 就是建议大家先做
[63:23] 建议下二十到十万
[63:24] 因为他前面会放听音的时候
[63:27] 他会放完整版的
[63:28] 就跟在考场一样
[63:29] 他会说el's british el's council
[63:32] 我就会说很多很多很多很多废话
[63:35] 这个时候可以去念我们刚刚说那个
[63:37] 先看part 2听音的时候
[63:39] 现在part 2 part 3
[63:40] 对不对
[63:40] 这个时候是个很好训练
[63:42] 但是嗯
[63:43] 如果好像是到17还是18
[63:46] 后面有几本开始
[63:47] 他就不会报那个
[63:49] el's british council这些东西了
[63:51] 他就直接开始pull 1
[63:53] 就直接开始pull 1的
[63:54] 就如果你直接开始pull 1
[63:56] 你练习part 2 part 3这个练习的话
[63:58] 你是没有太多时间练习的
[64:00] 但是你如果从这个完整的听音播放
[64:03] 从建强二十到建强十八
[64:05] 他会放完整对不对
[64:06] 你都念了这几本以后
[64:08] 就算到时你做到17
[64:10] 他直接从pull 1的看着念
[64:11] 你已经掌握了一段时间
[64:13] 你有一段时间练习的
[64:14] 就算他时间给的不充足
[64:15] 你也还是可以继续去练习那个
[64:18] 先读part 2 part 3
[64:19] 这种这种方法
[64:21] 对不对
[64:21] 所以我还是建议大家先做二十到十八
[64:23] 去适应我刚刚说的一种训练方式
[64:25] 就是听你先看part 2 part 3
[64:27] 那种方式
[64:28] 会更好的去让你去进行那个
[64:31] 就是因为你要是上来就做那个
[64:33] 直接就开始念pull 1的话
[64:35] 他就可能就30秒还是一分钟的时间就过了
[64:38] 你就直接就要开始做那个part 1
[64:40] 根本不会给你足够的时间
[64:42] 就会练习
[64:44] 然后还有我就觉得大家不要忽视老帖
[64:47] 就是看网上很多人都说
[64:48] 建强十一千人都不要做
[64:49] 我觉得不要听这个
[64:51] 不要听这个
[64:52] 因为为什么呢
[64:53] 就是他的雅士在个题目是比较流动的
[64:57] 其他人呢
[64:58] 建强十到二十我做过三遍了
[65:00] 他他没变数你懂吗
[65:02] 就是很多他的题目
[65:04] 类型就是比较固定的
[65:05] 他没有什么
[65:05] 比如说那个听你的part 1
[65:07] 他就是天空题
[65:08] 对不对
[65:09] 他不会有什么选择题啥的
[65:11] 但是我考试的时候
[65:13] 我就遇到了天空
[65:14] 就遇到那个选择题的
[65:15] 这是新来很扎
[65:17] 而且他还是那种类似表格选择题
[65:19] 那种题真的很老很老
[65:20] 我是在那个建桥8还是建桥7
[65:23] 才看到这个题的
[65:24] 如果你你要是没有做一些老题
[65:27] 没有做过这种适应这种题的话
[65:30] 没有见过这种题的话
[65:31] 你考试的时候
[65:31] 你看这题你不就慌了吗
[65:33] 就算他不难
[65:34] 但你也会慌
[65:35] 一慌的话
[65:36] 人一齐
[65:36] 那不就听不进去的吗
[65:37] 所以我觉得大家不要忽视老题
[65:40] 你做一些老题
[65:41] 就是89啊啥的
[65:43] 789啥的这些的时候
[65:44] 你做一些老题
[65:45] 可以预防你考试的时候
[65:46] 遇到一些没有做到的题
[65:48] 但是你就不会慌
[65:50] 就是你注意到一些做过的题
[65:52] 你就不会慌
[65:53] 对不对
[65:53] 因为你已经做过了
[65:54] 虽然他很老我做了少
[65:55] 但是我已经做过
[65:56] 我看过他了
[65:57] 我不怕他
[65:58] 就不会慌
[65:59] 好不好
[65:59] OK
[66:00] 本期视频就说这么多
[66:02] 希望这个视频对大家有所帮助
[66:04] 如果大家有什么问题的话
[66:06] 就在评论机或是私信我都可以
[66:09] 希望大家
[66:10] 希望我这个视频能帮到大家
[66:12] 好的
[66:12] 谢谢
